,name,latitude,longitude,cables
89,"Seraya, Indonesia",-8.386266,115.74668,"[{'id': 'xl-bali-lombok-submarine-cable-system', 'name': 'XL Bali Lombok Submarine Cable System', 'cable_id': 1867.0}]"
90,"Tinian, Northern Mariana Islands",15.011123,145.637461,"[{'id': 'mariana-guam-cable', 'name': 'Mariana-Guam Cable', 'cable_id': 1757.0}]"
91,"Timika, Indonesia",-4.550257,136.889614,"[{'id': 'palapa-ring-east', 'name': 'Palapa Ring East', 'cable_id': 1938.0}, {'id': 'smpcs-packet-2', 'name': 'SMPCS Packet-2', 'cable_id': 1885.0}]"
92,"Barka, Oman",23.679429,58.004324,"[{'id': 'bay-of-bengal-gateway-bbg', 'name': 'Bay of Bengal Gateway (BBG)', 'cable_id': 1735.0}, {'id': 'europe-india-gateway-eig', 'name': 'Europe India Gateway (EIG)', 'cable_id': 1580.0}, {'id': 'omranepeg-cable-system', 'name': 'OMRAN/EPEG Cable System', 'cable_id': 1695.0}, {'id': 'pishgaman-oman-iran-poi-network', 'name': 'Pishgaman Oman Iran (POI) Network', 'cable_id': 1689.0}]"
93,"Annaba, Algeria",36.902348,7.755435,"[{'id': 'med-cable-network', 'name': 'Med Cable Network', 'cable_id': 1366.0}, {'id': 'seamewe-4', 'name': 'SeaMeWe-4', 'cable_id': 1035.0}]"
94,"Puerto Cortes, Honduras",15.844802,-87.94607,"[{'id': 'arcos', 'name': 'ARCOS', 'cable_id': 1078.0}, {'id': 'maya-1', 'name': 'Maya-1', 'cable_id': 1071.0}]"
95,"El-Quawef, Libya",31.76081,25.087372,"[{'id': 'tobrok-emasaed-cable-system', 'name': 'Tobrok-Emasaed Cable System', 'cable_id': 1779.0}]"
96,"Kuwait City, Kuwait",29.374019,47.974739,"[{'id': 'fiber-optic-gulf-fog', 'name': 'Fiber Optic Gulf (FOG)', 'cable_id': 1209.0}, {'id': 'gulf-bridge-international-cable-system-gbicsmiddle-east-north-africa-mena-cable-system', 'name': 'Gulf Bridge International Cable System (GBICS)/Middle East North Africa (MENA) Cable System', 'cable_id': 1598.0}, {'id': 'kuwait-iran', 'name': 'Kuwait-Iran', 'cable_id': 1250.0}]"
97,"Freetown, Sierra Leone",8.485333,-13.238098,"[{'id': 'africa-coast-to-europe-ace', 'name': 'Africa Coast to Europe (ACE)', 'cable_id': 1629.0}]"
98,"Nanny Cay, Virgin Islands (U.K.)",18.414784,-64.597241,"[{'id': 'east-west', 'name': 'East-West', 'cable_id': 1671.0}]"
99,"Al Brega, Libya",30.378108,19.576523,"[{'id': 'lfon-libyan-fiber-optic-network', 'name': 'LFON (Libyan Fiber Optic Network)', 'cable_id': 1184.0}]"
100,"Sitio, Brazil",-11.846664,-37.570508,"[{'id': 'brazilian-festoon', 'name': 'Brazilian Festoon', 'cable_id': 1888.0}]"
101,"Port Vila, Vanuatu",-17.730329,168.322802,"[{'id': 'interchange-cable-network-1-icn1', 'name': 'Interchange Cable Network 1 (ICN1)', 'cable_id': 1682.0}]"
102,"Salakan, Indonesia",-1.301015,123.340206,"[{'id': 'palapa-ring-middle', 'name': 'Palapa Ring Middle', 'cable_id': 1940.0}]"
103,"Chabahar, Iran",25.298228,60.629616,"[{'id': 'falcon', 'name': 'FALCON', 'cable_id': 1346.0}, {'id': 'omranepeg-cable-system', 'name': 'OMRAN/EPEG Cable System', 'cable_id': 1695.0}, {'id': 'pishgaman-oman-iran-poi-network', 'name': 'Pishgaman Oman Iran (POI) Network', 'cable_id': 1689.0}]"
104,"Emi, Japan",35.062383,140.061097,"[{'id': 'tata-tgn-pacific', 'name': 'Tata TGN-Pacific', 'cable_id': 1155.0}]"
105,"Tétouan, Morocco",35.565923,-5.391812,"[{'id': 'estepona-tetouan', 'name': 'Estepona-Tetouan', 'cable_id': 1251.0}, {'id': 'seamewe-3', 'name': 'SeaMeWe-3', 'cable_id': 1031.0}]"
106,"Nyali, Kenya",-4.050501,39.700036,"[{'id': 'lower-indian-ocean-network-2-lion2', 'name': 'Lower Indian Ocean Network 2 (LION2)', 'cable_id': 1667.0}]"
107,"Namlea, Indonesia",-3.233412,127.085834,"[{'id': 'smpcs-packet-1', 'name': 'SMPCS Packet-1', 'cable_id': 1884.0}]"
108,"Sylt, Germany",54.898506,8.383364,"[{'id': 'atlantic-crossing-1-ac-1', 'name': 'Atlantic Crossing-1 (AC-1)', 'cable_id': 1143.0}, {'id': 'cantat-3', 'name': 'CANTAT-3', 'cable_id': 1737.0}]"
109,"Haradsholm, Finland",60.30097,22.302108,"[{'id': 'bcs-north---phase-1', 'name': 'BCS North - Phase 1', 'cable_id': 1609.0}]"
110,"La Union, Philippines",16.582594,120.389646,"[{'id': 'asia-america-gateway-aag-cable-system', 'name': 'Asia-America Gateway (AAG) Cable System', 'cable_id': 1507.0}]"
111,"Taipa, China",22.156127,113.561036,"[{'id': 'seamewe-3', 'name': 'SeaMeWe-3', 'cable_id': 1031.0}]"
112,"Port Moresby, Papua New Guinea",-9.4796,147.18851,"[{'id': 'png-lng', 'name': 'PNG LNG', 'cable_id': 1898.0}, {'id': 'png-national-submarine-fibre-cable-network', 'name': 'PNG National Submarine Fibre Cable Network', 'cable_id': 1899.0}, {'id': 'png-national-submarine-fibre-cable-network', 'name': 'PNG National Submarine Fibre Cable Network', 'cable_id': 1899.0}]"
113,"Cayman Brac, Cayman Islands",19.690332,-79.877641,"[{'id': 'cayman-jamaica-fiber-system', 'name': 'Cayman-Jamaica Fiber System', 'cable_id': 1068.0}]"
114,"Longyearbyen, Svalbard, Norway",78.218527,15.64879,"[{'id': 'svalbard-undersea-cable-system', 'name': 'Svalbard Undersea Cable System', 'cable_id': 1651.0}]"
115,"Kerch, Ukraine",45.356983,36.477382,"[{'id': 'kerch-strait-cable', 'name': 'Kerch Strait Cable', 'cable_id': 1822.0}]"
116,"Marmaris, Turkey",36.855253,28.253679,"[{'id': 'seamewe-3', 'name': 'SeaMeWe-3', 'cable_id': 1031.0}, {'id': 'seamewe-5', 'name': 'SeaMeWe-5', 'cable_id': 1559.0}]"
117,"L'Ancresse Bay, Guernsey",49.503392,-2.533464,"[{'id': 'channel-islands-9-liberty-submarine-cable', 'name': 'Channel Islands-9 Liberty Submarine Cable', 'cable_id': 1784.0}, {'id': 'uk-channel-islands-7', 'name': 'UK-Channel Islands-7', 'cable_id': 1703.0}]"
118,"Perth, Australia",-31.953442,115.857227,"[{'id': 'australia-singapore-cable-asc', 'name': 'Australia-Singapore Cable (ASC)', 'cable_id': 1683.0}, {'id': 'indigo-central', 'name': 'INDIGO-Central', 'cable_id': 1818.0}, {'id': 'indigo-west', 'name': 'INDIGO-West', 'cable_id': 1744.0}, {'id': 'seamewe-3', 'name': 'SeaMeWe-3', 'cable_id': 1031.0}]"
119,"Charlestown, Rhode Island, United States",41.411904,-71.64587,"[{'id': 'challenger-bermuda-1-cb-1', 'name': 'Challenger Bermuda-1 (CB-1)', 'cable_id': 1596.0}]"
120,"Pekanbaru, Indonesia",0.533335,101.450007,"[{'id': 'jasuka', 'name': 'JASUKA', 'cable_id': 1844.0}]"
121,"Pankalan, Indonesia",-2.849672,111.752932,"[{'id': 'jaka2ladema', 'name': 'JaKa2LaDeMa', 'cable_id': 1767.0}]"
122,"Teping Tinggi, Indonesia",3.380599,99.208211,"[{'id': 'jasuka', 'name': 'JASUKA', 'cable_id': 1844.0}]"
123,"Hillsboro, Oregon, United States",45.522901,-122.989797,"[{'id': 'northstar', 'name': 'NorthStar', 'cable_id': 1166.0}, {'id': 'southern-cross-cable-network-sccn', 'name': 'Southern Cross Cable Network (SCCN)', 'cable_id': 1009.0}, {'id': 'tata-tgn-pacific', 'name': 'Tata TGN-Pacific', 'cable_id': 1155.0}]"
124,"Santiago de Cuba, Cuba",20.028796,-75.828974,"[{'id': 'alba-1', 'name': 'ALBA-1', 'cable_id': 1529.0}]"
125,"Matara, Sri Lanka",5.940827,80.539861,"[{'id': 'seamewe-5', 'name': 'SeaMeWe-5', 'cable_id': 1559.0}]"
126,"Mt. Lavinia, Sri Lanka",6.832697,79.866716,"[{'id': 'bharat-lanka-cable-system', 'name': 'Bharat Lanka Cable System', 'cable_id': 1356.0}, {'id': 'seamewe-3', 'name': 'SeaMeWe-3', 'cable_id': 1031.0}]"
127,"Apia, Samoa",-13.833675,-171.766684,"[{'id': 'samoa-american-samoa-sas', 'name': 'Samoa-American Samoa (SAS)', 'cable_id': 1620.0}, {'id': 'tui-samoa', 'name': 'Tui-Samoa', 'cable_id': 1855.0}]"
128,"Tarakan, Indonesia",3.327352,117.578515,"[{'id': 'indonesia-global-gateway-igg-system', 'name': 'Indonesia Global Gateway (IGG) System', 'cable_id': 1895.0}, {'id': 'tarakan-selor-cable-system-tscs', 'name': 'Tarakan Selor Cable System (TSCS)', 'cable_id': 1882.0}]"
129,"Manasquan, New Jersey, United States",40.123343,-74.047041,"[{'id': 'apollo', 'name': 'Apollo', 'cable_id': 1213.0}, {'id': 'gemini-bermuda', 'name': 'Gemini Bermuda', 'cable_id': 1551.0}, {'id': 'tat-14', 'name': 'TAT-14', 'cable_id': 1043.0}]"
